state,type,,brackets,rate,bracket,,,,,,,,,,,,,,,,,,,,,,
Missouri (f),joint,,,0.015,1000,0.02,2000,0.025,3000,0.03,4000,0.035,5000,0.04,6000,0.045,7000,0.05,8000,0.055,9000,0.06,10000000000,,,,
"Montana (a, e, f)",single,,,0.01,2800,0.02,4900,0.03,7400,0.04,10100,0.05,13000,0.06,16700,0.069,10000000000,,,,,,,,,,
"Montana (a, e, f)",joint,,,0.01,2800,0.02,4900,0.03,7400,0.04,10100,0.05,13000,0.06,16700,0.069,10000000000,,,,,,,,,,
Nebraska,single,,,0.0246,3000,0.0351,18000,0.0501,29000,0.0684,10000000000,,,,,,,,,,,,,,,,
Nebraska,joint,,,0.0246,6000,0.0351,36000,0.0501,58000,0.0684,10000000000,,,,,,,,,,,,,,,,
New Hampshire (c),single,,,0.05,10000000000,,,,,,,,,,,,,,,,,,,,,,
New Hampshire (c),joint,,,0.05,10000000000,,,,,,,,,,,,,,,,,,,,,,
New Jersey,single,,,0.014,20000,0.0175,35000,0.035,40000,0.05525,75000,0.0637,500000,0.0897,10000000000,,,,,,,,,,,,
New Jersey,joint,,,0.014,20000,0.0175,50000,0.0245,70000,0.035,80000,0.05525,150000,0.0637,500000,0.0897,10000000000,,,,,,,,,,
New Mexico,single,,,0.017,5500,0.032,11000,0.047,16000,0.049,10000000000,,,,,,,,,,,,,,,,
New Mexico,joint,,,0.017,8000,0.032,16000,0.047,24000,0.049,10000000000,,,,,,,,,,,,,,,,
New York,single,,,0.04,8200,0.045,11300,0.0525,13350,0.059,20550,0.0645,77150,0.0665,205850,0.0685,1029250,0.0882,10000000000,,,,,,,,
New York,joint,,,0.04,16450,0.045,22600,0.0525,26750,0.059,41150,0.0645,154350,0.0665,308750,0.0685,2058550,0.0882,10000000000,,,,,,,,
North Carolina,single,,,0.058,10000000000,,,,,,,,,,,,,,,,,,,,,,
North Carolina,joint,,,0.058,10000000000,,,,,,,,,,,,,,,,,,,,,,
North Dakota (e),single,,,0.0122,36900,0.0227,89350,0.0252,186350,0.0293,405100,0.0322,10000000000,,,,,,,,,,,,,,
North Dakota (e),joint,,,0.0122,73800,0.0227,148850,0.0252,226850,0.0293,405100,0.0322,10000000000,,,,,,,,,,,,,,
"Ohio (a, e)",single,0.0054,5200,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio (a, e)",single,0.0107,10400,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio (a, e)",single,0.0215,15650,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio (a, e)",single,0.0269,20900,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio (a, e)",single,0.0322,41700,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio (a, e)",single,0.0376,83350,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio (a, e)",single,0.043,104250,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio (a, e)",single,0.0499,208500,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio (a, e)",single,0.05392,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio (a, e)",joint,0.0054,5200,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio (a, e)",joint,0.0107,10400,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio (a, e)",joint,0.0215,15650,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio (a, e)",joint,0.0269,20900,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio (a, e)",joint,0.0322,41700,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio (a, e)",joint,0.0376,83350,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio (a, e)",joint,0.043,104250,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio (a, e)",joint,0.0499,208500,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio (a, e)",joint,0.05392,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma (a),single,0.005,1000,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma (a),single,0.01,2500,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma (a),single,0.02,3750,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma (a),single,0.03,4900,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma (a),single,0.04,7200,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma (a),single,0.05,8700,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma (a),single,5.25% (cc),10000000000,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma (a),joint,0.005,2000,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma (a),joint,0.01,5000,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma (a),joint,0.02,7500,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma (a),joint,0.03,9800,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma (a),joint,0.04,12200,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma (a),joint,0.05,15000,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma (a),joint,5.25% (cc),10000000000,,,,,,,,,,,,,,,,,,,,,,,,
"Oregon (a, e, f, j)",single,0.05,3300,,,,,,,,,,,,,,,,,,,,,,,,
"Oregon (a, e, f, j)",single,0.07,8250,,,,,,,,,,,,,,,,,,,,,,,,
"Oregon (a, e, f, j)",single,0.09,125000,,,,,,,,,,,,,,,,,,,,,,,,
"Oregon (a, e, f, j)",single,0.099,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
"Oregon (a, e, f, j)",joint,0.05,6500,,,,,,,,,,,,,,,,,,,,,,,,
"Oregon (a, e, f, j)",joint,0.07,16300,,,,,,,,,,,,,,,,,,,,,,,,
"Oregon (a, e, f, j)",joint,0.09,250000,,,,,,,,,,,,,,,,,,,,,,,,
"Oregon (a, e, f, j)",joint,0.099,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,single,3.07% (hh),10000000000,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,joint,3.07% (hh),10000000000,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island (e),single,0.0375,59600,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island (e),single,0.0475,135500,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island (e),single,0.0599,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island (e),joint,0.0375,59600,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island (e),joint,0.0475,135500,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island (e),joint,0.0599,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina (e),single,0,2880,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina (e),single,0.03,5760,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina (e),single,0.04,8640,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina (e),single,0.05,11520,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina (e),single,0.06,14400,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina (e),single,0.07,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina (e),joint,0,2880,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina (e),joint,0.03,5760,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina (e),joint,0.04,8640,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina (e),joint,0.05,11520,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina (e),joint,0.06,14400,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina (e),joint,0.07,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
Tenn.(c),single,0.06,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
Tenn.(c),joint,0.06,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
Utah,single,0.05,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
Utah,joint,0.05,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,single,0.0355,36900,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,single,0.068,89350,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,single,0.078,186350,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,single,0.088,405100,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,single,0.0895,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,joint,0.0355,73800,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,joint,0.068,148850,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,joint,0.078,226850,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,joint,0.088,405100,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,joint,0.0895,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,single,0.02,3000,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,single,0.03,5000,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,single,0.05,17000,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,single,0.0575,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,joint,0.02,3000,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,joint,0.03,5000,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,joint,0.05,17000,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,joint,0.0575,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia (a),single,0.03,10000,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia (a),single,0.04,25000,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia (a),single,0.045,40000,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia (a),single,0.06,60000,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia (a),single,0.065,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia (a),joint,0.03,10000,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia (a),joint,0.04,25000,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia (a),joint,0.045,40000,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia (a),joint,0.06,60000,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia (a),joint,0.065,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin (e),single,0.04,10910,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin (e),single,0.0584,21820,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin (e),single,0.0627,240190,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin (e),single,0.0765,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin (e),joint,0.04,14540,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin (e),joint,0.0584,29090,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin (e),joint,0.0627,320250,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin (e),joint,0.0765,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
D.C.,single,0.04,10000,,,,,,,,,,,,,,,,,,,,,,,,
D.C.,single,0.06,40000,,,,,,,,,,,,,,,,,,,,,,,,
D.C.,single,0.085,350000,,,,,,,,,,,,,,,,,,,,,,,,
D.C.,single,0.0895,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
D.C.,joint,0.04,10000,,,,,,,,,,,,,,,,,,,,,,,,
D.C.,joint,0.06,40000,,,,,,,,,,,,,,,,,,,,,,,,
D.C.,joint,0.085,350000,,,,,,,,,,,,,,,,,,,,,,,,
D.C.,joint,0.0895,10000000000,,,,,,,,,,,,,,,,,,,,,,,,
